vertex_string_list,wpts_y_unreal,wpts_x_unreal,wpts_z_unreal
vert1,0,0,10
vert2,0.158857156000596,0.00213537065540527,10
vert3,1.20595323413812,0.0284441589619956,10
vert4,3.85740267785433,0.132508610379477,10
vert5,8.65439940727542,0.396287359024976,10
vert6,15.9773536180549,0.926038862818446,10
vert7,26.0600285802772,1.84824483971471,10
vert8,39.0036774374227,3.30553370502215,10
vert9,54.7911800053932,5.45260400980804,10
vert10,73.3011795715989,8.4521478803905,10
vert11,94.3222196941057,12.4707744589171,10
vert12,117.566881000844,17.6749333450303,10
vert13,142.685917988879,24.2268380386189,10
vert14,169.28239582374,32.280389383657,10
vert15,196.925827138814,41.9770990131292,10
vert16,225.166308834794,53.4420127950419,10
vert17,253.548658879199,66.7796342795225,10
vert18,281.626553105943,82.0698481470037,10
vert19,308.976662014972,99.3638436574962,10
vert20,335.212787571963,118.680038100946,10
vert21,360.000000008075,140.000000385086,10
vert22,383.068605703207,163.264449532606,10
vert23,404.223723247852,188.371211416916,10
vert24,423.343711041424,215.178137547321,10
vert25,440.374203071165,243.507981276147,10
vert26,455.321975774673,273.153349465353,10
vert27,468.248814902424,303.881654173982,10
vert28,479.265382380283,335.44006436642,10
vert29,488.52508317201,367.56045764149,10
vert30,496.217932141754,399.964371982358,10
vert31,502.56442091654,432.367957527263,10
vert32,507.809384748749,464.486928361074,10
vert33,512.215869378584,496.04151432766,10
vert34,516.058997896536,526.761412863091,10
vert35,519.619837605834,556.390740849655,10
vert36,523.179266884889,584.692986490698,10
vert37,527.011842049731,611.455961206289,10
vert38,531.379664216435,636.4967515497,10
vert39,536.526246163542,659.666671144717,10
vert40,542.670379194466,680.856212643764,10
vert41,549.999999999916,699.999999550096,10
vert42,558.66613531191,717.081650182995,10
vert43,568.778869139838,732.136333159844,10
vert44,580.408444251472,745.247469584173,10
vert45,593.588386235787,756.541129721702,10
vert46,608.318705357438,766.180341362516,10
vert47,624.569098411237,774.359398150924,10
vert48,642.28215057663,781.298167882962,10
vert49,661.376537272168,787.236400771577,10
vert50,681.750226009974,792.42803767946,10
vert51,703.283678250214,797.13551831955,10
vert52,725.843051255556,801.624089423207,10
vert53,749.283399945632,806.156112876034,10
vert54,773.451878751501,810.985373821376,10
vert55,798.190943470099,816.351388731479,10
vert56,823.341553118697,822.473713446308,10
vert57,848.746371789347,829.546251180035,10
vert58,874.252970503334,837.731560495187,10
vert59,899.717029065622,847.15516324446,10
vert60,925.00553791929,857.899852480195,10
vert61,949.999999999961,870.000000506308,10
vert62,974.599595012045,883.435963824202,10
vert63,998.72336664457,898.131097248851,10
vert64,1022.30992954849,913.955406158986,10
vert65,1045.31619925673,930.73179735483,10
vert66,1067.71608452617,948.242426795293,10
vert67,1089.49917967957,966.235047582223,10
vert68,1110.66945694737,984.429358191729,10
vert69,1131.24395880939,1002.52335095257,10
vert70,1151.25149033649,1020.19966077159,10
vert71,1170.73131153204,1037.13191410625,10
vert72,1189.73182967338,1052.99107818419,10
vert73,1208.30929165313,1067.45181046987,10
vert74,1226.52647632044,1080.19880837828,10
vert75,1244.4513868221,1090.93315923569,10
vert76,1262.1559429436,1099.37869048752,10
vert77,1279.71467345007,1105.28832015318,10
vert78,1297.2034084271,1108.4504075281,10
vert79,1314.69797162155,1108.69510413267,10
vert80,1332.27287278213,1105.90070490841,10
vert81,1350.00000000001,1099.99999949684,10
vert82,1367.94732190182,1090.98651906345,10
vert83,1386.17784640768,1078.9181031252,10
vert84,1404.74923088539,1063.91370523065,10
vert85,1423.71364879423,1046.14752655745,10
vert86,1443.11766617592,1025.84304488867,10
vert87,1463.00211814785,1003.26704359679,10
vert88,1483.40198539858,978.723640635381,10
vert89,1504.34627068574,952.548317538552,10
vert90,1525.85787533608,925.101948428005,10
vert91,1547.95347574799,896.764829027846,10
vert92,1570.6433998962,867.930705687067,10
vert93,1593.93150383884,839.000804409739,10
vert94,1617.81504822675,810.377859892893,10
vert95,1642.28457481518,782.460144572102,10
vert96,1667.3237829777,755.63549767476,10
vert97,1692.90940622244,730.275354281057,10
vert98,1719.01108871068,706.728774392655,10
vert99,1745.59126177766,685.316472009054,10
vert100,1772.60502045578,666.324844211662,10
vert101,1800.00000000004,650.000000346937,10
vert102,1827.71625988369,636.541764328845,10
vert103,1855.68636263285,626.09959425231,10
vert104,1883.835947625,618.774286617438,10
vert105,1912.08449980103,614.62128973133,10
vert106,1940.34612585283,613.653967300215,10
vert107,1968.53033041096,615.846870211568,10
vert108,1996.54279223227,621.139016506202,10
vert109,2024.28614038751,629.437179540332,10
vert110,2051.66073044897,640.619184337632,10
vert111,2078.56542067805,654.537212131249,10
vert112,2104.89834821289,671.021113095816,10
vert113,2130.557705256,689.881727269427,10
vert114,2155.44251526178,710.914213665596,10
vert115,2179.45340912421,733.901387575194,10
vert116,2202.49340136433,758.617066058364,10
vert117,2224.4686663179,784.829421626411,10
vert118,2245.28931432295,812.304344113673,10
vert119,2264.87016790731,840.808810739365,10
vert120,2283.13153797625,870.11426435941,10
vert121,2299.99999999998,899.999999907847,10
vert122,2315.40916386359,930.256454134079,10
vert123,2329.30027918315,960.687513600578,10
vert124,2341.62242305869,991.111327517821,10
vert125,2352.33252327829,1021.36036520134,10
vert126,2361.39537518298,1051.28139195204,10
vert127,2368.78365853145,1080.73544490716,10
vert128,2374.47795436473,1109.59780886189,10
vert129,2378.46676187069,1137.75799206166,10
vert130,2380.74651524844,1165.11970196506,10
vert131,2381.32160057263,1191.60082097742,10
vert132,2380.20437265759,1217.13338215507,10
vert133,2377.4151719214,1241.66354488018,10
vert134,2372.98234124981,1265.15157050637,10
vert135,2366.94224286007,1287.57179797486,10
vert136,2359.3392751646,1308.91261940131,10
vert137,2350.22588963458,1329.1764556334,10
vert138,2339.66260766344,1348.37973177889,10
vert139,2327.71803743013,1366.55285270453,10
vert140,2314.46889076242,1383.74017850545,10
vert141,2299.99999999996,1399.99999989023,10
vert142,2284.40432306991,1415.40449773226,10
vert143,2267.78264192843,1430.0392764176,10
vert144,2250.24248254097,1444.00181305681,10
vert145,2231.89672821868,1457.39947995752,10
vert146,2212.86222116651,1470.34755098661,10
vert147,2193.25836403115,1482.96720792997,10
vert148,2173.20572144895,1495.38354684994,10
vert149,2152.82462159372,1507.72358444033,10
vert150,2132.23375772449,1520.11426437919,10
vert151,2111.54878973323,1532.68046367912,10
vert152,2090.88094569244,1545.54299903527,10
vert153,2070.33562340271,1558.816633171,10
vert154,2050.01099194018,1572.60808118116,10
vert155,2029.99659320399,1587.01401687298,10
vert156,2010.37194346356,1602.1190791047,10
vert157,1991.20513490592,1617.99387812173,10
vert158,1972.55143718286,1634.69300189054,10
vert159,1954.45189895809,1652.25302243016,10
vert160,1936.93194945427,1670.69050214129,10
vert161,1920.00000000004,1690.0000002112,10
vert162,1903.64607347835,1710.1521190025,10
vert163,1887.84118315202,1731.092596683,10
vert164,1872.53862213822,1752.74405123921,10
vert165,1857.67599934297,1775.00877066349,10
vert166,1843.17730307977,1797.77154346154,10
vert167,1828.95496476979,1820.90248914866,10
vert168,1814.91192272357,1844.25988873471,10
vert169,1800.94368600414,1867.69301519787,10
vert170,1786.94039837172,1891.04496394708,10
vert171,1772.78890230991,1914.15548327325,10
vert172,1758.37480313335,1936.86380478922,10
vert173,1743.58453317692,1959.01147385844,10
vert174,1728.30741606641,1980.44518001238,10
vert175,1712.43773107069,2001.01958735675,10
vert176,1695.87677753544,2020.60016496636,10
vert177,1678.53493939831,2039.06601726878,10
vert178,1660.33374978562,2056.31271441677,10
vert179,1641.20795569055,2072.25512264935,10
vert180,1621.10758273284,2086.83023464174,10
vert181,1599.99999999996,2099.99999976586,10
vert182,1577.87195051516,2111.75410763053,10
vert183,1554.73070634354,2122.11154451593,10
vert184,1530.60301312467,2131.1190364651,10
vert185,1505.53316166368,2138.84826526776,10
vert186,1479.58102531665,2145.39303738387,10
vert187,1452.82009737609,2150.86645286873,10
vert188,1425.33552845636,2155.39807429937,10
vert189,1397.22216387912,2159.13109570255,10
vert190,1368.58258105882,2162.21951148413,10
vert191,1339.52512688817,2164.82528535988,10
vert192,1310.16195512356,2167.11551928778,10
vert193,1280.60706377063,2169.25962240176,10
vert194,1250.97433246971,2171.42647994684,10
vert195,1221.37555988132,2173.78162221582,10
vert196,1191.91850107171,2176.48439348731,10
vert197,1162.70490489837,2179.68512096529,10
vert198,1133.82855139553,2183.52228372007,10
vert199,1105.37328915972,2188.11968163071,10
vert200,1077.4110727353,2193.58360432894,10
vert201,1050.00000000004,2200.00000021086,10
vert202,1023.18238052888,2207.43168811416,10
vert203,996.983609391539,2215.91670445252,10
vert204,971.413085511777,2225.46953628596,10
vert205,946.465935460786,2236.08348751651,10
vert206,922.124768228957,2247.7330878657,10
vert207,898.361429997622,2260.37650190881,10
vert208,875.138758910789,2273.95793816617,10
vert209,852.412339846889,2288.41005825115,10
vert210,830.132259190501,2303.65638607515,10
vert211,808.244859604085,2319.61371710944,10
vert212,786.694494799709,2336.19452770387,10
vert213,765.425284310772,2353.30938446242,10
vert214,744.38286826372,2370.86935367571,10
vert215,723.516162149767,2388.78841081029,10
vert216,702.779111596601,2406.98585005492,10
vert217,682.132447140096,2425.38869392358,10
vert218,661.545438996014,2443.93410291553,10
vert219,640.99765183171,2462.57178523208,10
vert220,620.480699537824,2481.26640655036,10
vert221,599.99999999996,2499.99999977419,10
vert222,579.57649762838,2518.77433037587,10
vert223,559.247547694373,2537.61211022496,10
vert224,539.065672980127,2556.55529969274,10
vert225,519.096482222033,2575.66226013527,10
vert226,499.416556310963,2595.00486175094,10
vert227,480.111334492944,2614.6655914435,10
vert228,461.273000570231,2634.73466069065,10
vert229,442.998369102773,2655.30711341804,10
vert230,425.386771610077,2676.47993387891,10
vert231,408.537942773475,2698.34915453916,10
vert232,392.549906638773,2721.00696396795,10
vert233,377.516862819316,2744.53881473382,10
vert234,363.527072699432,2769.0205313063,10
vert235,350.660745638284,2794.51541796309,10
vert236,338.987925174112,2821.07136670264,10
vert237,328.566375228878,2848.7179651624,10
vert238,319.439466313302,2877.46360454241,10
vert239,311.634061732298,2907.29258753455,10
vert240,305.158403790806,2938.16223625719,10
vert241,300.00000000004,2970.00000031116,10
vert242,296.123546540595,3002.70062303538,10
vert243,293.469820492441,3036.12484512776,10
vert244,291.957031298311,3070.10200966714,10
vert245,291.483141008214,3104.43420306401,10
vert246,291.928221781874,3138.90045461257,10
vert247,293.156813391073,3173.26093607534,10
vert248,295.020280721894,3207.26116130011,10
vert249,297.359171276874,3240.63618586938,10
vert250,300.005572677057,3273.11480678228,10
vert251,302.785470163949,3304.42376216885,10
vert252,305.521104101379,3334.29193103683,10
vert253,308.033327477265,3362.45453305085,10
vert254,310.143963405282,3388.65732834414,10
vert255,311.67816262643,3412.66081736253,10
vert256,312.466761010514,3434.24444074109,10
vert257,312.348637057519,3453.21077921303,10
vert258,311.173069398897,3469.38975355119,10
vert259,308.802094298749,3482.64282454186,10
vert260,305.112863154918,3492.86719299112,10
vert261,299.999999999961,3499.99999964289,10
vert262,293.377930433707,3504.02245386724,10
vert263,285.182467736799,3504.96210090881,10
vert264,275.370513345667,3502.89037310493,10
vert265,263.91901450472,3497.91828151944,10
vert266,250.823893349743,3490.19203595519,10
vert267,236.098975991297,3479.88866496168,10
vert268,219.774921598111,3467.21163583788,10
vert269,201.898151480479,3452.3864746302,10
vert270,182.529778173651,3435.65638612567,10
vert271,161.744534521231,3417.27787384027,10
vert272,139.629702758563,3397.51636000241,10
vert273,116.284043596125,3376.64180553163,10
vert274,91.8167253029183,3354.92433001241,10
vert275,66.346252789855,3332.6298316632,10
vert276,39.9993966931475,3310.01560730058,10
vert277,12.9101224576942,3287.32597229865,10
vert278,-14.7814805795344,3264.78788054349,10
vert279,-42.9302701061112,3242.60654438293,10
vert280,-71.3871217507682,3220.96105457134,10
vert281,-100.000000000034,3200.00000029868,10
vert282,-128.615032043414,3179.83715179348,10
vert283,-157.077657761951,3160.54879227527,10
vert284,-185.233973002631,3142.17523689081,10
vert285,-212.932148996281,3124.72399920147,10
vert286,-240.023854704115,3108.17302049758,10
vert287,-266.365679164268,3092.4738991433,10
vert288,-291.820553838324,3077.55511995225,10
vert289,-316.259174957841,3063.32528359364,10
vert290,-339.561425870877,3049.67633602909,10
vert291,-361.617799388495,3036.48679798004,10
vert292,-382.330820131281,3023.62499442581,10
vert293,-401.616466875845,3010.95228413222,10
vert294,-419.40559490132,2998.32628921093,10
vert295,-435.645358335855,2985.60412470929,10
vert296,-450.300632503106,2972.64562823087,10
vert297,-463.355436268719,2959.31658958662,10
vert298,-474.814354386807,2945.49198047663,10
vert299,-484.703959846426,2931.0591842025,10
vert300,-493.074236218039,2915.92122541035,10
vert301,-499.999999999962,2899.99999981788,10
vert302,-505.58228210996,2883.23946294276,10
